[2021-02-03 15:54:09] [ always  ] Spawning background process: /usr/bin/php '/var/www/html/cacti/install/background.php' 1612360449.8125
[2021-02-03 15:54:10] [ always  ] Setting PHP Option max_execution_time = 0
[2021-02-03 15:54:10] [ always  ] Setting PHP Option memory_limit = -1
[2021-02-03 15:54:11] [ always  ] Starting INSTALL Process for v1.2.16
[2021-02-03 15:54:11] [ always  ] No tables where found or selected for conversion
[2021-02-03 15:54:11] [ always  ] Found 6 templates to install
[2021-02-03 15:54:11] [ always  ] About to import Package #1 'Cacti_Stats.xml.gz'.
[2021-02-03 15:54:18] [ always  ] Import of Package #1 'Cacti_Stats.xml.gz' under Profile '1' succeeded
[2021-02-03 15:54:18] [ always  ] About to import Package #2 'Cisco_Router.xml.gz'.
[2021-02-03 15:54:22] [ always  ] Import of Package #2 'Cisco_Router.xml.gz' under Profile '1' succeeded
[2021-02-03 15:54:22] [ always  ] About to import Package #3 'Generic_SNMP_Device.xml.gz'.
[2021-02-03 15:54:25] [ always  ] Import of Package #3 'Generic_SNMP_Device.xml.gz' under Profile '1' succeeded
[2021-02-03 15:54:25] [ always  ] About to import Package #4 'Local_Linux_Machine.xml.gz'.
[2021-02-03 15:54:26] [ always  ] Import of Package #4 'Local_Linux_Machine.xml.gz' under Profile '1' succeeded
[2021-02-03 15:54:26] [ always  ] About to import Package #5 'NetSNMP_Device.xml.gz'.
[2021-02-03 15:54:34] [ always  ] Import of Package #5 'NetSNMP_Device.xml.gz' under Profile '1' succeeded
[2021-02-03 15:54:34] [ always  ] About to import Package #6 'Windows_Device.xml.gz'.
[2021-02-03 15:54:37] [ always  ] Import of Package #6 'Windows_Device.xml.gz' under Profile '1' succeeded
[2021-02-03 15:54:37] [ always  ] Repairing Automation Rules
[2021-02-03 15:54:37] [ always  ] Mapping Automation Template for Device Template 'Net-SNMP Device'
[2021-02-03 15:54:37] [ always  ] Mapping Automation Template for Device Template 'Windows Device'
[2021-02-03 15:54:37] [ always  ] Mapping Automation Template for Device Template 'Cisco Router'
[2021-02-03 15:54:37] [ always  ] Updating automation network (1), mode "on" => "on", subnet "192.168.1.0/24" => 192.168.1.0/24"
[2021-02-03 15:54:37] [ always  ] Device Template for First Cacti Device is 4
[2021-02-03 15:54:39] [ always  ] Creating Graphs for Default Device
[2021-02-03 15:54:39] [ always  ] Adding Device to Default Tree
